Latitude,Longitude,Nama_Unit,Kode_Unit,Alamat,Dokter_Spesialis,Dokter_Umum,Dokter_Gigi,Perawat,Bidan,Farmasi,Nakes_Lainnya,Tenaga_Pendukung,Provinsi
?,?,RSB Siti Mirian,R3507100S,"Jl. Dr. Wahidin No.101, Lawang",5,6,1,7,7,0,0,34,JAWA TIMUR
?,?,RSB Permata Hati,R3507101,Jl. Pasar Baru No.99 Dampit,3,3,0,7,8,1,1,10,JAWA TIMUR
-7.952064,112.675888,RSU Lanuma Abdul Saleh,R3507102,"Jl. Dr. M. Munir No.18, Malang",8,7,3,42,4,3,13,25,JAWA TIMUR
?,?,RSU Prima Husada,R3507104S,"Banjararum Selatan No.3, Mondoroko Singosari Malang",6,5,1,25,13,6,7,25,JAWA TIMUR
?,?,RSU Lawang Medika,R3507105S,"Jl. Dr. Cipto 8 Bedali, Lawang",9,7,1,18,5,3,1,38,JAWA TIMUR
?,?,RSU Ben Mari,R3507107S,"JL.Raya Kendalpayak No.17, Kec. Pakisaji",8,5,1,35,9,3,8,34,JAWA TIMUR
-8.170653,112.639961,RSU Islam Gondang Legi,R3507204,Jl. Hayam Wuruk 66 Gondang Legi Malang,21,9,1,87,17,5,7,70,JAWA TIMUR
-8.003153,112.761894,RSU Sumber Sentosa,R3507230,Jl. Kebonsari No. 221 Malang,8,5,3,14,5,9,15,40,JAWA TIMUR
?,?,RSU Islam Madinah Kasembon,R3507241,"Jl. Raya Sukosari No.32, Kasembon Malang",6,6,1,28,4,5,14,36,JAWA TIMUR
?,?,RSK Bedah Hasta Husada,R3507248S,Jl. Bromo 98-100 Kepanjen - Malang,5,4,0,11,2,2,0,0,JAWA TIMUR
-8.122275,113.227776,RSUD Dr. Haryoto Lumajang,R3508016,"Jl. Basuki Rahmat No.5, Lumajang",15,17,2,214,36,25,42,193,JAWA TIMUR
-7.872264,112.523422,RSU Wijaya Kusuma,R3508053,Jl. A. Yani No.149 Lumajang,12,6,1,21,5,6,8,46,JAWA TIMUR
?,?,RSU Bhayangkara Lumajang,R3508054,Jl. Kapt. Kyai Ilyas No. 7,9,5,1,30,10,5,5,15,JAWA TIMUR
?,?,RSU Djatiroro,R3508055,JL PB SUDIRMAN 81 LUMAJANG,0,4,0,28,5,4,7,45,JAWA TIMUR
?,?,RSU Islam Lumajang,R3508056S,Jl. Kyai Muksin no 19 Lumajang,16,10,2,44,3,7,25,45,JAWA TIMUR
-8.156189,113.715393,RSUD Dr. Soebandi,R3509010,"Jl. Dr. Soebandi No.124, Jember",42,21,8,409,36,35,90,331,JAWA TIMUR
-8.2603,113.67041,RSU PTPN X Jember,R3509021,Jl. Bedadung No.2,48,10,5,96,8,2,42,151,JAWA TIMUR
-8.2603,113.67041,Rumkit Tk.III Baladika Husada Jember,R3509032,Jl. PB Sudirman No. 45 Jember,10,3,1,24,8,6,43,66,JAWA TIMUR
-8.160664,113.700508,RS Paru Jember,R3509043,Jl. Nusa Indah No. 28 Jember,7,8,0,60,0,12,0,0,JAWA TIMUR
-8.160853,113.695,RSU Utama Husada,R3509101,"Jl. Manggar No.134 Tegalsari, Ambulu Jember",5,8,1,16,1,2,2,20,JAWA TIMUR
-8.176375,113.714134,RSK Gigi dan Mulut Universitas Jember,R3509112,Jl. Kalimantan No. 37 Jember,0,0,0,0,0,0,0,0,JAWA TIMUR
-8.201456,113.671982,RSUD Kalisat Kab.Jember,R3509123,Jl. M.H.Thamrin No.31 Jember,8,10,1,85,19,11,35,53,JAWA TIMUR
-8.271042,113.539307,RSUD Balung,R3509134,"Jl. Rambipuji 19, Balung Jember",8,12,4,118,14,15,26,89,JAWA TIMUR
?,?,RSU Bina Sehat,R3509135,Jl. Jayanegara 7 Kaliwates Jember,37,13,7,137,42,27,11,135,JAWA TIMUR
?,?,RSU Citra Husada Jember,R3509136,jl. Teratai No. 22 Jember,8,6,3,31,11,9,6,59,JAWA TIMUR
-8.236286,114.358238,RSUD Blambangan,R3510010,Jl. Letkol Istiqlah No. 49 Banyuwangi,18,11,3,150,30,24,4,193,JAWA TIMUR
?,114.014328,RSU PTP XII Bakti Husada,R3510021,Krikilan Glenmore Banyuwangi,11,7,2,51,8,4,10,47,JAWA TIMUR
-8.36405,114.147774,RSUD Genteng,R3510043,"Jl. Hasanudin No.98, Genteng",10,7,3,130,28,26,27,107,JAWA TIMUR
-8.261633,114.334053,RSU Islam Fatimah,R3510054,Jl. Jember 25 Kabat Banyuwangi,18,5,1,37,10,3,1,72,JAWA TIMUR
-8.231872,114.362389,RSIA Bunda,R3510065,Jl. Adisucipto 9 Banyuwangi,0,0,0,0,0,0,0,0,JAWA TIMUR
?,?,RSU Yasmin Banyuwangi,R3510076,Jl. Letkol Istiqlah Banyuwangi,19,3,2,35,0,4,7,86,JAWA TIMUR
